nr,battle,element,first,second
433,battle_of_krasnoi,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon I  Louis-Alexandre Berthier  Jean-Baptiste Bessières  François Joseph Lefebvre  Édouard Mortier  Louis Nicolas Davout  Eugène de Beauharnais  Armand Charles Guilleminot  Michel Ney  Étienne Pierre Sylvestre Ricard  Joachim Murat  Emmanuel de Grouchy  Philippe Paul, comte de Ségur  Louis Alméras  Philippe Antoine d'Ornano  Antoine-Henri Jomini  Étienne Maurice Gérard  André Burthe  Pierre David de Colbert-Chabanais  Jean-Barthélemot Sorbier",Mikhail Kutuzov  Mikhail Miloradovich  Dmitry Golitsyn  Alexander Tormasov  Pavel Alexandrovich Stroganov  Matvei Platov  Alexander Ivanovich Ostermann-Tolstoy  Denis Davydov  Adam Ozharovsky  Vasily Orlov-Denisov  Aleksey Petrovich Yermolov  Dmitry Dokhturov  Nikolay Raevsky  Georg Andreas von Rosen  Dmitry Buturlin  George Carpenter  Eugen of Württemberg  Ilya Duka  Friedrich von Korff  Grand Duke Konstantin Pavlovich
434,battle_of_krasnoi,Strength,"41,500 combatants 35,000 stragglers","50,000 to 60,000 regular troops 20,000 Cossack cavalry 500 cannon"
435,battle_of_krasnoi,Casualties and losses,"5 to 13,000 killed, wounded or drowned soldiers and stragglers 26,500 prisoners  and 228 cannon.","2,000 to 5,000 killed and wounded"
436,battle_of_the_berezina,Battle,Battle of the Berezina,Battle of the Berezina
437,battle_of_the_berezina,Date,26-29 November 1812,26-29 November 1812
438,battle_of_the_berezina,Location,"The Berezina river near Studienka, Russian Empire .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°19′29″N 28°21′16″E﻿ / ﻿54.32472°N 28.35444°E","The Berezina river near Studienka, Russian Empire .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°19′29″N 28°21′16″E﻿ / ﻿54.32472°N 28.35444°E"
439,battle_of_the_berezina,Result,see aftermath,see aftermath
440,battle_of_the_berezina,Belligerents,French Empire  Duchy of Warsaw  Italy  Naples  Bavaria  Westphalia  Württemberg  Saxony  Hesse,Russian Empire
441,battle_of_the_berezina,Commanders and leaders,Napoleon I  Nicolas Oudinot  Claude Victor-Perrin  Michel Ney,Peter Wittgenstein  Pavel Chichagov  Yefim Chaplits
442,battle_of_the_berezina,Strength,"~36,000 effectives At least 40,000 stragglers 250-300 guns",".mw-parser-output .treeview ul{padding:0;margin:0}.mw-parser-output .treeview li{padding:0;margin:0;list-style-type:none;list-style-image:none}.mw-parser-output .treeview li li{background:urlno-repeat 0 -2981px;padding-left:21px;text-indent:0.3em}.mw-parser-output .treeview li li:last-child{background-position:0 -5971px}.mw-parser-output .treeview li.emptyline>ul>.mw-empty-elt:first-child+.emptyline,.mw-parser-output .treeview li.emptyline>ul>li:first-child{background-position:0 9px} 61,500 to 64,000 Chichagov: 31,500. Wittgenstein: 30,000."
443,battle_of_the_berezina,Casualties and losses,"20,000 to 30,000 combatants 30,000 noncombatants","10,000 killed Many more wounded"
444,battle_of_lützen,Battle,Battle of Lützen,Battle of Lützen
445,battle_of_lützen,Date,2 May 1813,2 May 1813
446,battle_of_lützen,Location,"Lützen, Germany.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°13′00″N 12°11′00″E﻿ / ﻿51.2167°N 12.1833°E","Lützen, Germany.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°13′00″N 12°11′00″E﻿ / ﻿51.2167°N 12.1833°E"
447,battle_of_lützen,Result,French victory,French victory
448,battle_of_lützen,Belligerents,France  Kingdom of Italy  Grand Duchy of Hesse,Russia  Prussia
449,battle_of_lützen,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon  Michel Ney  Jean-de-Dieu Soult  Auguste de Marmont  Édouard Mortier  Henri Gatien Bertrand  Jacques MacDonald  Eugène de Beauharnais  Nicolas Oudinot  Antoine Drouot  Horace Sébastiani  Jacques Lauriston",Peter Wittgenstein  Alexander I  Alexander Tormasov  Ferdinand von Wintzingerode  Levin August von Bennigsen  Gebhard Leberecht von Blücher  Ludwig Yorck von Wartenburg  Gerhard von Scharnhorst   Frederick William III
450,battle_of_lützen,Strength,"78,000-145,000 372 guns","70,000-96,000 552 guns"
451,battle_of_lützen,Casualties and losses,"19,655-22,000","11,500-30,000"
452,battle_of_bautzen,Battle,Battle of Bautzen,Battle of Bautzen
453,battle_of_bautzen,Date,20-21 May 1813,20-21 May 1813
454,battle_of_bautzen,Location,"Bautzen, Kingdom of Saxony.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°11′00″N 14°25′00″E﻿ / ﻿51.1833°N 14.4167°E","Bautzen, Kingdom of Saxony.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°11′00″N 14°25′00″E﻿ / ﻿51.1833°N 14.4167°E"
455,battle_of_bautzen,Result,French victory,French victory
456,battle_of_bautzen,Belligerents,France,Russia  Prussia
457,battle_of_bautzen,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon  Michel Ney  Jean-de-Dieu Soult  Auguste de Marmont  Édouard Mortier  Henri Gatien Bertrand  Jacques MacDonald  Pierre Augereau  Nicolas Oudinot  Géraud Duroc  Horace Sébastiani  Jacques Lauriston",Peter Wittgenstein  Alexander I  Barclay de Tolly  Mikhail Miloradovich  Grand Duke Konstantin  Levin August von Bennigsen  Gebhard von Blücher  Frederick William III  Ludwig Yorck von Wartenburg  Friedrich von Kleist
458,battle_of_bautzen,Strength,"100,000-200,000","96,000-97,000"
459,battle_of_bautzen,Casualties and losses,"20,000-25,000","11,000-20,000"
460,battle_of_dresden,Battle,Battle of Dresden,Battle of Dresden
461,battle_of_dresden,Date,26-27 August 1813,26-27 August 1813
462,battle_of_dresden,Location,"Dresden, Kingdom of Saxony.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°02′N 13°44′E﻿ / ﻿51.033°N 13.733°E","Dresden, Kingdom of Saxony.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°02′N 13°44′E﻿ / ﻿51.033°N 13.733°E"
463,battle_of_dresden,Result,French victory,French victory
464,battle_of_dresden,Belligerents,France  Kingdom of Saxony,Austria  Russia  Prussia
465,battle_of_dresden,Commanders and leaders,Napoleon Bonaparte  Michel Ney  Auguste de Marmont  Joachim Murat  Claude Victor  Laurent de Gouvion Saint-Cyr  Édouard Mortier,Tsar Alexander I  Peter Wittgenstein  Barclay de Tolly  Grand Duke Konstantin  Nikolay Raevsky  Dmitry Golitsyn  Jean Victor Moreau †  Francis II of Austria  Karl von Schwarzenberg  Ignác Gyulay  Johann von Klenau  Hesse-Homburg Friedrich Graf Kleist Frederick William III
466,battle_of_dresden,Strength,"100,000 135,000","200,000 215,000"
467,battle_of_dresden,Casualties and losses,"10,000 killed or wounded","38,000 14,000 killed or wounded, 24,000 captured, 40 guns"
468,battle_of_the_nations,Battle,Battle of the Nations,Battle of the Nations
469,battle_of_the_nations,Date,16-19 October 1813,16-19 October 1813
470,battle_of_the_nations,Location,"Leipzig, Kingdom of Saxony.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°20′N 12°23′E﻿ / ﻿51.333°N 12.383°E","Leipzig, Kingdom of Saxony.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°20′N 12°23′E﻿ / ﻿51.333°N 12.383°E"
471,battle_of_the_nations,Result,Coalition victory,Coalition victory
472,battle_of_the_nations,Belligerents,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Russia  Austria  Prussia  Sweden  Mecklenburg-Schwerin  Saxony  Württemberg  United Kingdom",France  Baden  Duchy of Warsaw  Italy  Westphalia  Naples  Saxony  Württemberg
473,battle_of_the_nations,Commanders and leaders,Karl von Schwarzenberg  Francis I  Alexander I  Barclay de Tolly  Levin von Bennigsen  Peter Wittgenstein  Frederick William III  Gebhard L. von Blücher  Crown Prince Karl Johan,Napoleon  Pierre Augereau  Louis-Alexandre Berthier  Jacques MacDonald  Auguste de Marmont  Édouard Mortier  Michel Ney  Nicolas Oudinot  Claude Victor-Perrin  Jacques Lauriston   Józef Poniatowski †  Joachim Murat  Frederick Augustus I
474,battle_of_the_nations,Strength,"16-17 October: 257,000 1,400 guns 18-19 October: 365,000  145,000  115,000  90,000  25,000  6,000 1,500 guns","16-17 October: 177,000 700 guns 18-19 October: 195,000  160,000  40,000  15,000  10,000 700 guns"
475,battle_of_the_nations,Casualties and losses,"54,000-80,000 Official allied estimates:  22,605  16,033  14,958  208 29 generals and 1,896 officers","60,000-79,000 38,000 killed and wounded 30,000-36,000 captured  5,000-6,000 defected 325 guns 66 generals and 2,414 officers"
476,battle_of_hanau,Battle,Battle of Hanau,Battle of Hanau
477,battle_of_hanau,Date,30-31 October 1813,30-31 October 1813
478,battle_of_hanau,Location,"Hanau, Duchy of Frankfurt.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}50°07′59″N 8°55′01″E﻿ / ﻿50.1331°N 8.9169°E","Hanau, Duchy of Frankfurt.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}50°07′59″N 8°55′01″E﻿ / ﻿50.1331°N 8.9169°E"
479,battle_of_hanau,Result,French victory,French victory
480,battle_of_hanau,Belligerents,France,Bavaria  Austria
481,battle_of_hanau,Commanders and leaders,Napoleon Bonaparte,Karl von Wrede
482,battle_of_hanau,Strength,"17,000-30,000",43000
483,battle_of_hanau,Casualties and losses,"4,500-5,000 killed and wounded","6,000 killed and wounded 4,000 captured"
484,battle_of_brienne,Battle,Battle of Brienne,Battle of Brienne
485,battle_of_brienne,Date,29 January 1814,29 January 1814
486,battle_of_brienne,Location,"Brienne-le-Château, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°23′30″N 4°31′14″E﻿ / ﻿48.391586°N 4.520581°E","Brienne-le-Château, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°23′30″N 4°31′14″E﻿ / ﻿48.391586°N 4.520581°E"
487,battle_of_brienne,Result,French victory,French victory
488,battle_of_brienne,Belligerents,France,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Prussia  Russia"
489,battle_of_brienne,Commanders and leaders,Napoleon Bonaparte  Michel Ney  Claude Victor-Perrin  Auguste Marmont,Gebhard Leberecht von Blücher  Fabian von Osten-Sacken  Zakhar Olsufiev
490,battle_of_brienne,Strength,"36,000","28,000-30,000"
491,battle_of_brienne,Casualties and losses,"3,000-3,500 killed, wounded, or captured 8-11 guns lost","3,000-4,000 killed, wounded, or captured"
492,battle_of_la_rothière,Battle,Battle of La Rothière,Battle of La Rothière
493,battle_of_la_rothière,Date,1 February 1814,1 February 1814
494,battle_of_la_rothière,Location,"La Rothière, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°20′45″N 4°33′30″E﻿ / ﻿48.3458°N 4.5583°E","La Rothière, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°20′45″N 4°33′30″E﻿ / ﻿48.3458°N 4.5583°E"
495,battle_of_la_rothière,Result,Coalition victory,Coalition victory
496,battle_of_la_rothière,Belligerents,France,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Austria  Bavaria  Prussia  Russia  Württemberg"
497,battle_of_la_rothière,Commanders and leaders,Napoleon Bonaparte,Gebhard Leberecht von Blücher
498,battle_of_la_rothière,Strength,"41,000-45,000 128 guns","110,000-123,000"
499,battle_of_la_rothière,Casualties and losses,"3,000-4,600 killed or wounded 1,000 captured 73 guns lost","6,000-7,000 killed or wounded"
500,battle_of_champaubert,Battle,Battle of Champaubert,Battle of Champaubert
501,battle_of_champaubert,Date,10 February 1814,10 February 1814
502,battle_of_champaubert,Location,"Champaubert, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°52′51″N 3°46′33″E﻿ / ﻿48.88083°N 3.77583°E","Champaubert, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°52′51″N 3°46′33″E﻿ / ﻿48.88083°N 3.77583°E"
503,battle_of_champaubert,Result,French victory,French victory
504,battle_of_champaubert,Belligerents,France,Russia
505,battle_of_champaubert,Commanders and leaders,Napoleon Bonaparte  Auguste de Marmont,Zakhar Olsufiev
506,battle_of_champaubert,Strength,"5,000","4,000-5,000 24 guns"
507,battle_of_champaubert,Casualties and losses,200-600,"2,400-4,000 9 guns lost"
508,battle_of_montmirail,Battle,Battle of Montmirail,Battle of Montmirail
509,battle_of_montmirail,Date,11 February 1814,11 February 1814
510,battle_of_montmirail,Location,"Montmirail, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°53′45″N 3°28′51″E﻿ / ﻿48.8958°N 3.4807°E","Montmirail, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°53′45″N 3°28′51″E﻿ / ﻿48.8958°N 3.4807°E"
511,battle_of_montmirail,Result,French victory,French victory
512,battle_of_montmirail,Belligerents,France,Russia  Prussia
513,battle_of_montmirail,Commanders and leaders,Napoleon Bonaparte,Fabian Osten-Sacken  Ludwig von Yorck
514,battle_of_montmirail,Strength,"20,000-25,000","Russia: 18,000, 90 guns Prussia: 9,000, 16 guns Total: 27,000-39,000 106 guns"
515,battle_of_montmirail,Casualties and losses,"2,000-2,100","Russia: 2,800, 9-26 guns Prussia: 900Total casualties: 3,700-4,000, 9-26 guns"
516,battle_of_château-thierry,Battle,Battle of Château-Thierry,Battle of Château-Thierry
517,battle_of_château-thierry,Date,12 February 1814,12 February 1814
518,battle_of_château-thierry,Location,"Château-Thierry, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°02′24″N 3°24′00″E﻿ / ﻿49.0400°N 3.4000°E","Château-Thierry, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°02′24″N 3°24′00″E﻿ / ﻿49.0400°N 3.4000°E"
519,battle_of_château-thierry,Result,French victory,French victory
520,battle_of_château-thierry,Belligerents,France,Prussia  Russia
521,battle_of_château-thierry,Commanders and leaders,Napoleon Bonaparte,Ludwig Yorck  Fabian von Osten-Sacken
522,battle_of_château-thierry,Strength,"20,000","Prussia: 17,000 Russia: 17,000 Total: 30,000-34,000"
523,battle_of_château-thierry,Casualties and losses,"400-600 killed, wounded, or captured","Prussia: 1,251 killed, wounded, or captured 6 guns lost Russia: 1,500 killed, wounded, or captured 3 guns lostTotal casualties: 2,751-3,000 killed, wounded or captured 12 guns lost"
524,battle_of_vauchamps,Battle,Battle of Vauchamps,Battle of Vauchamps
525,battle_of_vauchamps,Date,14 February 1814,14 February 1814
526,battle_of_vauchamps,Location,"Vauchamps, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°52′52″N 3°36′59″E﻿ / ﻿48.8811°N 3.6164°E","Vauchamps, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°52′52″N 3°36′59″E﻿ / ﻿48.8811°N 3.6164°E"
527,battle_of_vauchamps,Result,French victory,French victory
528,battle_of_vauchamps,Belligerents,France,Prussia  Russia
529,battle_of_vauchamps,Commanders and leaders,Napoleon Bonaparte  Auguste de Marmont  Emmanuel de Grouchy,Gebhard Leberecht von Blücher  Friedrich von Kleist  Peter Kaptzevich
530,battle_of_vauchamps,Strength,"10,000","21,500"
531,battle_of_vauchamps,Casualties and losses,"600 killed, wounded, or captured","9,000 killed, wounded, or captured 15 guns lost"
532,battle_of_mormant,Battle,Battle of Mormant,Battle of Mormant
533,battle_of_mormant,Date,17 February 1814,17 February 1814
534,battle_of_mormant,Location,"Mormant, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°36′28″N 02°53′19″E﻿ / ﻿48.60778°N 2.88861°E","Mormant, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°36′28″N 02°53′19″E﻿ / ﻿48.60778°N 2.88861°E"
535,battle_of_mormant,Result,French victory,French victory
536,battle_of_mormant,Belligerents,France,Austria  Bavaria  Russia
537,battle_of_mormant,Commanders and leaders,Napoleon Bonaparte  Claude Victor-Perrin  Étienne Gérard  François Kellermann  Édouard Milhaud,Karl von Schwarzenberg  Anton von Hardegg  Peter de Lamotte  Peter Wittgenstein  Peter Pahlen
538,battle_of_mormant,Strength,"18,000-20,000","Hardegg's division  Lamotte's division  3,500-4,300, 12 guns Total: 9,000"
539,battle_of_mormant,Casualties and losses,600-800,"1,000  +2,114, 9-12 guns lost Total: 3,114"
540,battle_of_montereau,Battle,Battle of Montereau,Battle of Montereau
541,battle_of_montereau,Date,18 February 1814,18 February 1814
542,battle_of_montereau,Location,"Montereau-Fault-Yonne, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°23′07″N 2°57′03″E﻿ / ﻿48.3853°N 2.9508°E","Montereau-Fault-Yonne, French Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°23′07″N 2°57′03″E﻿ / ﻿48.3853°N 2.9508°E"
543,battle_of_montereau,Result,French victory,French victory
544,battle_of_montereau,Belligerents,France,Austria  Württemberg
545,battle_of_montereau,Commanders and leaders,Napoleon Bonaparte,Prince of Württemberg
546,battle_of_montereau,Strength,"30,000 70-80 guns","15,000-18,000 40 guns"
547,battle_of_montereau,Casualties and losses,"2,000-3,000 killed, wounded, or captured","5,000-6,000 killed, wounded, or captured 2-15 guns lost"
548,battle_of_craonne,Battle,Battle of Craonne,Battle of Craonne
549,battle_of_craonne,Date,7 March 1814,7 March 1814
550,battle_of_craonne,Location,"Craonne, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°26′27″N 3°47′15″E﻿ / ﻿49.44083°N 3.78750°E","Craonne, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°26′27″N 3°47′15″E﻿ / ﻿49.44083°N 3.78750°E"
551,battle_of_craonne,Result,French victory,French victory
552,battle_of_craonne,Belligerents,France,Prussia  Russia
553,battle_of_craonne,Commanders and leaders,Napoleon Bonaparte  Michel Ney  Étienne de Nansouty,Overall: Gebhard Leberecht von Blücher  Ferdinand Fyodorovich Wintzingerode Craonne: Mikhail Vorontsov
554,battle_of_craonne,Strength,"Overall:  48,000. Craonne:  30,000; 102 guns.","Overall:  110,000. Craonne:  22,300; 96 guns."
555,battle_of_craonne,Casualties and losses,"5,400-8,000","5,000"
556,battle_of_laon,Battle,Battle of Laon,Battle of Laon
557,battle_of_laon,Date,9-10 March 1814,9-10 March 1814
558,battle_of_laon,Location,"Laon, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°33′57″N 3°37′14″E﻿ / ﻿49.5658°N 3.6206°E","Laon, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°33′57″N 3°37′14″E﻿ / ﻿49.5658°N 3.6206°E"
559,battle_of_laon,Result,Coalition victory,Coalition victory
560,battle_of_laon,Belligerents,France,"Prussia,  Russia"
561,battle_of_laon,Commanders and leaders,Napoleon Bonaparte,Gebhard von Blücher  August von Gneisenau  Friedrich von Bülow  Ferdinand von Wintzingerode
562,battle_of_laon,Strength,"37,000-50,000","90,000-100,000"
563,battle_of_laon,Casualties and losses,"6,000-6,500","3,500-4,000"
564,battle_of_reims_(1814),Battle,Battle of Reims,Battle of Reims
565,battle_of_reims_(1814),Date,12-13 March 1814,12-13 March 1814
